ID,Company,Currency,Date,Exchange Rate,Net Total (Company Currency),Posting Time,Series,Status,Supplier,ID (Items),Conversion Factor (Items),Item Code (Items),Item Name (Items),Rate (Company Currency) (Items),Received Quantity (Items),Stock UOM (Items),UOM (Items),Purchase Order (Items),Purchase Order Item (Items),Accepted Warehouse (Items),Tax Rate (Purchase Taxes and Charges),Account Head (Purchase Taxes and Charges),Accepted Quantity (Items),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Batch No (Items)
MAT-PRE-2024-00015,Velo GmbH,EUR,2020-09-30,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4312,um36pritf4,1.0,COMP-0031,Vorbau Standardvorbau,15.0,500.0,Nos,Nos,PUR-ORD-2024-00032,uli0denq95,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-VOR-20240423-5118
MAT-PRE-2024-00016,Velo GmbH,EUR,2022-06-15,"1,00",20000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-3188,um3c6v8ot2,1.0,COMP-0014,Bremsen Scheibenbremsen mechanisch,40.0,500.0,Nos,Nos,PUR-ORD-2024-00033,uli3riuead,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-BRE-20240709-8183
MAT-PRE-2024-00017,Velo GmbH,EUR,2020-10-27,"1,00",12500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-9131,um3iep4qdi,1.0,COMP-0020,Sattel Gel,25.0,500.0,Nos,Nos,PUR-ORD-2024-00034,uli6dqnru7,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-SAT-20240329-2284
MAT-PRE-2024-00018,Velo GmbH,EUR,2020-11-04,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-3188,um3pusi4lc,1.0,COMP-0018,Vorbau Standardvorbau,15.0,500.0,Nos,Nos,PUR-ORD-2024-00035,uli97d4ilh,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-VOR-20240625-6737
MAT-PRE-2024-00019,Velo GmbH,EUR,2020-07-27,"1,00",35000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7127,um3vitqh46,1.0,COMP-0019,Display Smartphone-Integration,70.0,500.0,Nos,Nos,PUR-ORD-2024-00036,ulicq0kd10,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-DIS-20240213-8576
MAT-PRE-2024-00020,Velo GmbH,EUR,2022-01-19,"1,00",100000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7331,um45katuuc,1.0,COMP-0028,Motor Mittelmotor 500W,200.0,500.0,Nos,Nos,PUR-ORD-2024-00037,ulif9rgmup,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-MOT-20240905-2289
MAT-PRE-2024-00021,Velo GmbH,EUR,2023-06-25,"1,00",20000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-8367,um4bbblr4o,1.0,COMP-0036,Kurbel 3-fach,40.0,500.0,Nos,Nos,PUR-ORD-2024-00038,uliiife3jt,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-KUR-20240423-3318
MAT-PRE-2024-00022,Velo GmbH,EUR,2020-12-12,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-8134,um4hfdaeks,1.0,COMP-0021,Vorbau Standardvorbau,15.0,500.0,Nos,Nos,PUR-ORD-2024-00039,ulil98kc41,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-VOR-20240319-5388
MAT-PRE-2024-00023,Velo GmbH,EUR,2022-04-20,"1,00",40000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4770,um4nmmolf6,1.0,COMP-0013,Controller Leistungsstark,80.0,500.0,Nos,Nos,PUR-ORD-2024-00040,uliogt4t60,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-CON-20240524-2835
MAT-PRE-2024-00024,Velo GmbH,EUR,2024-03-30,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4312,um4tde3buf,1.0,COMP-0031,Vorbau Standardvorbau,15.0,500.0,Nos,Nos,PUR-ORD-2024-00041,ulirki60ep,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-VOR-20240423-5118
MAT-PRE-2024-00025,Velo GmbH,EUR,2020-04-06,"1,00",30000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-5728,um58qqullu,1.0,COMP-0041,Controller Standard,60.0,500.0,Nos,Nos,PUR-ORD-2024-00043,ulj044dujd,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-CON-20240628-9500
MAT-PRE-2024-00026,Velo GmbH,EUR,2021-04-07,"1,00",12500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7885,um5ethcar1,1.0,COMP-0048,Steuersatz Semi-integriert,25.0,500.0,Nos,Nos,PUR-ORD-2024-00044,ulj3d149kp,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-STE-20240916-7276
MAT-PRE-2024-00027,Velo GmbH,EUR,2020-04-04,"1,00",15000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4441,um5kiioaqu,1.0,COMP-0038,Lenker Riserbar,30.0,500.0,Nos,Nos,PUR-ORD-2024-00045,ulj65sntas,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-LEN-20240601-3235
MAT-PRE-2024-00028,Velo GmbH,EUR,2021-06-07,"1,00",50000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4441,um5rb7bvdm,1.0,COMP-0042,Controller Tuning-Kit,100.0,500.0,Nos,Nos,PUR-ORD-2024-00046,ulj93vmenl,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-CON-20240107-286
MAT-PRE-2024-00029,Velo GmbH,EUR,2024-11-03,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4365,um61id1l97,1.0,COMP-0010,Sattelstütze Starr,15.0,500.0,Nos,Nos,PUR-ORD-2024-00047,uljcmshsdh,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-SAT-20240529-5170
MAT-PRE-2024-00030,Velo GmbH,EUR,2021-06-01,"1,00",12500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-1347,um66lnbshj,1.0,COMP-0029,Lenker Flatbar,25.0,500.0,Nos,Nos,PUR-ORD-2024-00048,uljfsqanpn,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-LEN-20240111-8096
MAT-PRE-2024-00031,Velo GmbH,EUR,2023-09-26,"1,00",90000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-9071,um6crnkffd,1.0,COMP-0037,Schaltung 2x11 Rennrad,180.0,500.0,Nos,Nos,PUR-ORD-2024-00049,uljilp83uj,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-SCH-20240830-713
MAT-PRE-2024-00032,Velo GmbH,EUR,2020-12-09,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-8134,um6isnoe20,1.0,COMP-0021,Vorbau Standardvorbau,15.0,500.0,Nos,Nos,PUR-ORD-2024-00050,uljla7kpug,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-VOR-20240319-5388
MAT-PRE-2024-00033,Velo GmbH,EUR,2023-12-03,"1,00",30000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-6297,um6o74ippl,1.0,COMP-0050,Controller Standard,60.0,500.0,Nos,Nos,PUR-ORD-2024-00051,uljomjqvb3,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-CON-20240404-5828
MAT-PRE-2024-00034,Velo GmbH,EUR,2021-08-11,"1,00",15000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-8367,um6uprdig4,1.0,COMP-0047,Lenker Riserbar,30.0,500.0,Nos,Nos,PUR-ORD-2024-00052,uljrio60hg,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-LEN-20240207-2
MAT-PRE-2024-00035,Velo GmbH,EUR,2020-12-18,"1,00",20000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-1186,um74p1bmps,1.0,COMP-0039,Kurbel 3-fach,40.0,500.0,Nos,Nos,PUR-ORD-2024-00053,ulju6l6eqc,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-KUR-20240609-3486
MAT-PRE-2024-00036,Velo GmbH,EUR,2021-12-21,"1,00",20000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-8367,um7a2hrgpm,1.0,COMP-0036,Kurbel 3-fach,40.0,500.0,Nos,Nos,PUR-ORD-2024-00054,ulk165cfpm,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-KUR-20240423-3318
MAT-PRE-2024-00037,Velo GmbH,EUR,2020-03-11,"1,00",30000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-2823,um7g9l9dr8,1.0,COMP-0032,Controller Standard,60.0,500.0,Nos,Nos,PUR-ORD-2024-00055,ulk4po610i,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-CON-20240615-2949
MAT-PRE-2024-00038,Velo GmbH,EUR,2020-04-07,"1,00",12500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7885,um7mim3hdr,1.0,COMP-0048,Steuersatz Semi-integriert,25.0,500.0,Nos,Nos,PUR-ORD-2024-00056,ulk7f8nupm,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-STE-20240916-7276
MAT-PRE-2024-00039,Velo GmbH,EUR,2024-02-14,"1,00",2500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-3098,um7spadjvc,1.0,COMP-0009,Griffe Standard,5.0,500.0,Nos,Nos,PUR-ORD-2024-00057,ulkar75s8d,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-GRI-20240315-6499
MAT-PRE-2024-00040,Velo GmbH,EUR,2024-03-06,"1,00",12500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-1347,um82srnesv,1.0,COMP-0029,Lenker Flatbar,25.0,500.0,Nos,Nos,PUR-ORD-2024-00058,ulkdksivjk,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-LEN-20240111-8096
MAT-PRE-2024-00041,Velo GmbH,EUR,2020-05-21,"1,00",12500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4365,um8c8gepbr,1.0,COMP-0001,Lenker Flatbar,25.0,500.0,Nos,Nos,PUR-ORD-2024-00060,ulkj9r4rii,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-LEN-20240920-7543
MAT-PRE-2024-00042,Velo GmbH,EUR,2019-11-05,"1,00",2500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-1115,um8j45fnd1,1.0,COMP-0045,Griffe Standard,5.0,500.0,Nos,Nos,PUR-ORD-2024-00061,ulknde208e,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-GRI-20240806-5109
MAT-PRE-2024-00043,Velo GmbH,EUR,2023-09-14,"1,00",50000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7559,um8pokgrdo,1.0,COMP-0004,Laufräder 28 Zoll,100.0,500.0,Nos,Nos,PUR-ORD-2024-00062,ulkpbrgk8q,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-LAU-20240830-5118
MAT-PRE-2024-00044,Velo GmbH,EUR,2019-12-02,"1,00",12500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4108,um8v2vc82s,1.0,COMP-0035,"Reifen Gravel 29""",25.0,500.0,Nos,Nos,PUR-ORD-2024-00063,ulks90ck73,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-REI-20241016-2083
MAT-PRE-2024-00045,Velo GmbH,EUR,2024-02-06,"1,00",12500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7885,um95j051bk,1.0,COMP-0048,Steuersatz Semi-integriert,25.0,500.0,Nos,Nos,PUR-ORD-2024-00064,ulkvfki5at,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-STE-20240916-7276
MAT-PRE-2024-00046,Velo GmbH,EUR,2022-07-03,"1,00",25000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7185,um9b4j4jo2,1.0,COMP-0022,Sattelstütze Teleskop,50.0,500.0,Nos,Nos,PUR-ORD-2024-00065,ull2hiojme,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-SAT-20240206-2371
MAT-PRE-2024-00047,Velo GmbH,EUR,2022-06-27,"1,00",100000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-9123,um9hugp66q,1.0,COMP-0007,Motor Mittelmotor 500W,200.0,500.0,Nos,Nos,PUR-ORD-2024-00066,ull5rpjmho,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-MOT-20240525-6386
MAT-PRE-2024-00048,Velo GmbH,EUR,2024-07-06,"1,00",10000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-1186,um9n2c41jg,1.0,COMP-0024,"Reifen Straße 28""",20.0,500.0,Nos,Nos,PUR-ORD-2024-00067,ull89h31c4,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-REI-20240330-799
MAT-PRE-2024-00049,Velo GmbH,EUR,2020-04-02,"1,00",90000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-9946,um9tk54hks,1.0,COMP-0011,Akku Zusatzakku,180.0,500.0,Nos,Nos,PUR-ORD-2024-00068,ullbjc83g9,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-AKK-20240503-5705
MAT-PRE-2024-00050,Velo GmbH,EUR,2021-07-31,"1,00",50000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7559,uma3o9odqq,1.0,COMP-0004,Laufräder 28 Zoll,100.0,500.0,Nos,Nos,PUR-ORD-2024-00069,ulleafn4s0,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-LAU-20240830-5118
MAT-PRE-2024-00051,Velo GmbH,EUR,2021-10-11,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4365,uma93ptamd,1.0,COMP-0010,Sattelstütze Starr,15.0,500.0,Nos,Nos,PUR-ORD-2024-00070,ullh2fii3m,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-SAT-20240529-5170
MAT-PRE-2024-00052,Velo GmbH,EUR,2022-09-20,"1,00",20000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-3188,umafrp2rlo,1.0,COMP-0014,Bremsen Scheibenbremsen mechanisch,40.0,500.0,Nos,Nos,PUR-ORD-2024-00071,ullkto4vo4,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-BRE-20240709-8183
MAT-PRE-2024-00053,Velo GmbH,EUR,2022-06-07,"1,00",10000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-1186,umam6du1hv,1.0,COMP-0024,"Reifen Straße 28""",20.0,500.0,Nos,Nos,PUR-ORD-2024-00072,ullnsl6t3l,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-REI-20240330-799
MAT-PRE-2024-00054,Velo GmbH,EUR,2022-03-19,"1,00",12500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-8452,umasra4n0g,1.0,COMP-0016,Vorbau Verstellbarer Vorbau,25.0,500.0,Nos,Nos,PUR-ORD-2024-00073,ullqeqof0l,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-VOR-20240314-5581
MAT-PRE-2024-00055,Velo GmbH,EUR,2020-02-19,"1,00",10000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-4108,umb2a97gd2,1.0,COMP-0025,Sattel Komfort,20.0,500.0,Nos,Nos,PUR-ORD-2024-00074,ulltrprea2,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-SAT-20240328-8755
MAT-PRE-2024-00056,Velo GmbH,EUR,2022-04-16,"1,00",100000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7331,umb817e99f,1.0,COMP-0028,Motor Mittelmotor 500W,200.0,500.0,Nos,Nos,PUR-ORD-2024-00075,ulm078c3am,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-MOT-20240905-2289
MAT-PRE-2024-00057,Velo GmbH,EUR,2020-04-17,"1,00",7500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7171,umbdqt570m,1.0,COMP-0015,Kette 9-fach,15.0,500.0,Nos,Nos,PUR-ORD-2024-00076,ulm32e09qg,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-KET-20240714-8150
MAT-PRE-2024-00058,Velo GmbH,EUR,2020-11-24,"1,00",75000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7042,umbtjho4gk,1.0,COMP-0051,Gabel Federgabel,150.0,500.0,Nos,Nos,PUR-ORD-2024-00079,ulmck97vq2,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,
MAT-PRE-2024-00059,Velo GmbH,EUR,2023-05-07,"1,00",75000.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-7042,umc3neg10l,1.0,COMP-0051,Gabel Federgabel,150.0,500.0,Nos,Nos,PUR-ORD-2024-00080,ulmf3b5m06,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,
MAT-PRE-2024-00060,Velo GmbH,EUR,2019-11-02,"1,00",2500.0,00:00:00.000000,MAT-PRE-.YYYY.-,To Bill,SUP-5367,umc98ko7dh,1.0,COMP-0034,Griffe Standard,5.0,500.0,Nos,Nos,PUR-ORD-2024-00081,ulmi17j3b0,Lager Stuttgart - B,19.0,1406 - Abziehbare Vorsteuer 19 % - B,500.0,Abziehbare Vorsteuer 19 %,On Net Total,Add,Total,BATCH-GRI-20240221-260
