ID,Credit To,Date,Due Date,Series,Supplier,Item (Items),Accepted Qty (Items),Accepted Qty in Stock UOM (Items),Amount (Items),Amount (Company Currency) (Items),Item Name (Items),Rate (Items),Rate (Company Currency) (Items),UOM (Items),UOM Conversion Factor (Items),Purchase Order (Items),Purchase Order Item (Items),Purchase Receipt (Items),Purchase Receipt Detail (Items),ID (Purchase Taxes and Charges),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Expense Head (Items),Deferred Expense Account (Items)
ACC-PINV-2024-00017,3500 - Sonstige Verb. - B,2020-09-30,2020-10-30,ACC-PINV-.YYYY.-,SUP-4312,COMP-0031,500.0,"500,00",7500.0,7500.0,Vorbau Standardvorbau,15.0,15.0,Nos,1.0,PUR-ORD-2024-00032,uli0denq95,MAT-PRE-2024-00015,um36pritf4,PITAX-ACC-PINV-2024-00017,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00018,3500 - Sonstige Verb. - B,2022-06-15,2022-07-15,ACC-PINV-.YYYY.-,SUP-3188,COMP-0014,500.0,"500,00",20000.0,20000.0,Bremsen Scheibenbremsen mechanisch,40.0,40.0,Nos,1.0,PUR-ORD-2024-00033,uli3riuead,MAT-PRE-2024-00016,um3c6v8ot2,PITAX-ACC-PINV-2024-00018,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00019,3500 - Sonstige Verb. - B,2020-10-27,2020-11-26,ACC-PINV-.YYYY.-,SUP-9131,COMP-0020,500.0,"500,00",12500.0,12500.0,Sattel Gel,25.0,25.0,Nos,1.0,PUR-ORD-2024-00034,uli6dqnru7,MAT-PRE-2024-00017,um3iep4qdi,PITAX-ACC-PINV-2024-00019,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00020,3500 - Sonstige Verb. - B,2020-11-04,2020-12-04,ACC-PINV-.YYYY.-,SUP-3188,COMP-0018,500.0,"500,00",7500.0,7500.0,Vorbau Standardvorbau,15.0,15.0,Nos,1.0,PUR-ORD-2024-00035,uli97d4ilh,MAT-PRE-2024-00018,um3pusi4lc,PITAX-ACC-PINV-2024-00020,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00021,3500 - Sonstige Verb. - B,2020-07-27,2020-08-26,ACC-PINV-.YYYY.-,SUP-7127,COMP-0019,500.0,"500,00",35000.0,35000.0,Display Smartphone-Integration,70.0,70.0,Nos,1.0,PUR-ORD-2024-00036,ulicq0kd10,MAT-PRE-2024-00019,um3vitqh46,PITAX-ACC-PINV-2024-00021,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00022,3500 - Sonstige Verb. - B,2022-01-19,2022-02-18,ACC-PINV-.YYYY.-,SUP-7331,COMP-0028,500.0,"500,00",100000.0,100000.0,Motor Mittelmotor 500W,200.0,200.0,Nos,1.0,PUR-ORD-2024-00037,ulif9rgmup,MAT-PRE-2024-00020,um45katuuc,PITAX-ACC-PINV-2024-00022,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00023,3500 - Sonstige Verb. - B,2023-06-25,2023-07-25,ACC-PINV-.YYYY.-,SUP-8367,COMP-0036,500.0,"500,00",20000.0,20000.0,Kurbel 3-fach,40.0,40.0,Nos,1.0,PUR-ORD-2024-00038,uliiife3jt,MAT-PRE-2024-00021,um4bbblr4o,PITAX-ACC-PINV-2024-00023,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00024,3500 - Sonstige Verb. - B,2020-12-12,2021-01-11,ACC-PINV-.YYYY.-,SUP-8134,COMP-0021,500.0,"500,00",7500.0,7500.0,Vorbau Standardvorbau,15.0,15.0,Nos,1.0,PUR-ORD-2024-00039,ulil98kc41,MAT-PRE-2024-00022,um4hfdaeks,PITAX-ACC-PINV-2024-00024,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00025,3500 - Sonstige Verb. - B,2022-04-20,2022-05-20,ACC-PINV-.YYYY.-,SUP-4770,COMP-0013,500.0,"500,00",40000.0,40000.0,Controller Leistungsstark,80.0,80.0,Nos,1.0,PUR-ORD-2024-00040,uliogt4t60,MAT-PRE-2024-00023,um4nmmolf6,PITAX-ACC-PINV-2024-00025,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00026,3500 - Sonstige Verb. - B,2024-03-30,2024-04-29,ACC-PINV-.YYYY.-,SUP-4312,COMP-0031,500.0,"500,00",7500.0,7500.0,Vorbau Standardvorbau,15.0,15.0,Nos,1.0,PUR-ORD-2024-00041,ulirki60ep,MAT-PRE-2024-00024,um4tde3buf,PITAX-ACC-PINV-2024-00026,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00027,3500 - Sonstige Verb. - B,2020-04-06,2020-05-06,ACC-PINV-.YYYY.-,SUP-5728,COMP-0041,500.0,"500,00",30000.0,30000.0,Controller Standard,60.0,60.0,Nos,1.0,PUR-ORD-2024-00043,ulj044dujd,MAT-PRE-2024-00025,um58qqullu,PITAX-ACC-PINV-2024-00027,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00028,3500 - Sonstige Verb. - B,2021-04-07,2021-05-07,ACC-PINV-.YYYY.-,SUP-7885,COMP-0048,500.0,"500,00",12500.0,12500.0,Steuersatz Semi-integriert,25.0,25.0,Nos,1.0,PUR-ORD-2024-00044,ulj3d149kp,MAT-PRE-2024-00026,um5ethcar1,PITAX-ACC-PINV-2024-00028,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00029,3500 - Sonstige Verb. - B,2020-04-04,2020-05-04,ACC-PINV-.YYYY.-,SUP-4441,COMP-0038,500.0,"500,00",15000.0,15000.0,Lenker Riserbar,30.0,30.0,Nos,1.0,PUR-ORD-2024-00045,ulj65sntas,MAT-PRE-2024-00027,um5kiioaqu,PITAX-ACC-PINV-2024-00029,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00030,3500 - Sonstige Verb. - B,2021-06-07,2021-07-07,ACC-PINV-.YYYY.-,SUP-4441,COMP-0042,500.0,"500,00",50000.0,50000.0,Controller Tuning-Kit,100.0,100.0,Nos,1.0,PUR-ORD-2024-00046,ulj93vmenl,MAT-PRE-2024-00028,um5rb7bvdm,PITAX-ACC-PINV-2024-00030,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00031,3500 - Sonstige Verb. - B,2021-06-01,2021-07-01,ACC-PINV-.YYYY.-,SUP-1347,COMP-0029,500.0,"500,00",12500.0,12500.0,Lenker Flatbar,25.0,25.0,Nos,1.0,PUR-ORD-2024-00048,uljfsqanpn,MAT-PRE-2024-00030,um66lnbshj,PITAX-ACC-PINV-2024-00031,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00032,3500 - Sonstige Verb. - B,2023-09-26,2023-10-26,ACC-PINV-.YYYY.-,SUP-9071,COMP-0037,500.0,"500,00",90000.0,90000.0,Schaltung 2x11 Rennrad,180.0,180.0,Nos,1.0,PUR-ORD-2024-00049,uljilp83uj,MAT-PRE-2024-00031,um6crnkffd,PITAX-ACC-PINV-2024-00032,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00033,3500 - Sonstige Verb. - B,2020-12-09,2021-01-08,ACC-PINV-.YYYY.-,SUP-8134,COMP-0021,500.0,"500,00",7500.0,7500.0,Vorbau Standardvorbau,15.0,15.0,Nos,1.0,PUR-ORD-2024-00050,uljla7kpug,MAT-PRE-2024-00032,um6isnoe20,PITAX-ACC-PINV-2024-00033,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00034,3500 - Sonstige Verb. - B,2023-12-03,2024-01-02,ACC-PINV-.YYYY.-,SUP-6297,COMP-0050,500.0,"500,00",30000.0,30000.0,Controller Standard,60.0,60.0,Nos,1.0,PUR-ORD-2024-00051,uljomjqvb3,MAT-PRE-2024-00033,um6o74ippl,PITAX-ACC-PINV-2024-00034,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00035,3500 - Sonstige Verb. - B,2021-08-11,2021-09-10,ACC-PINV-.YYYY.-,SUP-8367,COMP-0047,500.0,"500,00",15000.0,15000.0,Lenker Riserbar,30.0,30.0,Nos,1.0,PUR-ORD-2024-00052,uljrio60hg,MAT-PRE-2024-00034,um6uprdig4,PITAX-ACC-PINV-2024-00035,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00036,3500 - Sonstige Verb. - B,2020-12-18,2021-01-17,ACC-PINV-.YYYY.-,SUP-1186,COMP-0039,500.0,"500,00",20000.0,20000.0,Kurbel 3-fach,40.0,40.0,Nos,1.0,PUR-ORD-2024-00053,ulju6l6eqc,MAT-PRE-2024-00035,um74p1bmps,PITAX-ACC-PINV-2024-00036,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00037,3500 - Sonstige Verb. - B,2021-12-21,2022-01-20,ACC-PINV-.YYYY.-,SUP-8367,COMP-0036,500.0,"500,00",20000.0,20000.0,Kurbel 3-fach,40.0,40.0,Nos,1.0,PUR-ORD-2024-00054,ulk165cfpm,MAT-PRE-2024-00036,um7a2hrgpm,PITAX-ACC-PINV-2024-00037,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00038,3500 - Sonstige Verb. - B,2020-03-11,2020-04-10,ACC-PINV-.YYYY.-,SUP-2823,COMP-0032,500.0,"500,00",30000.0,30000.0,Controller Standard,60.0,60.0,Nos,1.0,PUR-ORD-2024-00055,ulk4po610i,MAT-PRE-2024-00037,um7g9l9dr8,PITAX-ACC-PINV-2024-00038,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00039,3500 - Sonstige Verb. - B,2020-04-07,2020-05-07,ACC-PINV-.YYYY.-,SUP-7885,COMP-0048,500.0,"500,00",12500.0,12500.0,Steuersatz Semi-integriert,25.0,25.0,Nos,1.0,PUR-ORD-2024-00056,ulk7f8nupm,MAT-PRE-2024-00038,um7mim3hdr,PITAX-ACC-PINV-2024-00039,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00040,3500 - Sonstige Verb. - B,2024-02-14,2024-03-15,ACC-PINV-.YYYY.-,SUP-3098,COMP-0009,500.0,"500,00",2500.0,2500.0,Griffe Standard,5.0,5.0,Nos,1.0,PUR-ORD-2024-00057,ulkar75s8d,MAT-PRE-2024-00039,um7spadjvc,PITAX-ACC-PINV-2024-00040,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00041,3500 - Sonstige Verb. - B,2024-03-06,2024-04-05,ACC-PINV-.YYYY.-,SUP-1347,COMP-0029,500.0,"500,00",12500.0,12500.0,Lenker Flatbar,25.0,25.0,Nos,1.0,PUR-ORD-2024-00058,ulkdksivjk,MAT-PRE-2024-00040,um82srnesv,PITAX-ACC-PINV-2024-00041,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00042,3500 - Sonstige Verb. - B,2020-05-21,2020-06-20,ACC-PINV-.YYYY.-,SUP-4365,COMP-0001,500.0,"500,00",12500.0,12500.0,Lenker Flatbar,25.0,25.0,Nos,1.0,PUR-ORD-2024-00060,ulkj9r4rii,MAT-PRE-2024-00041,um8c8gepbr,PITAX-ACC-PINV-2024-00042,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00043,3500 - Sonstige Verb. - B,2019-11-05,2019-12-05,ACC-PINV-.YYYY.-,SUP-1115,COMP-0045,500.0,"500,00",2500.0,2500.0,Griffe Standard,5.0,5.0,Nos,1.0,PUR-ORD-2024-00061,ulknde208e,MAT-PRE-2024-00042,um8j45fnd1,PITAX-ACC-PINV-2024-00043,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00044,3500 - Sonstige Verb. - B,2023-09-14,2023-10-14,ACC-PINV-.YYYY.-,SUP-7559,COMP-0004,500.0,"500,00",50000.0,50000.0,Laufräder 28 Zoll,100.0,100.0,Nos,1.0,PUR-ORD-2024-00062,ulkpbrgk8q,MAT-PRE-2024-00043,um8pokgrdo,PITAX-ACC-PINV-2024-00044,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
ACC-PINV-2024-00045,3500 - Sonstige Verb. - B,2019-12-02,2020-01-01,ACC-PINV-.YYYY.-,SUP-4108,COMP-0035,500.0,"500,00",12500.0,12500.0,"Reifen Gravel 29""",25.0,25.0,Nos,1.0,PUR-ORD-2024-00063,ulks90ck73,MAT-PRE-2024-00044,um8v2vc82s,PITAX-ACC-PINV-2024-00045,1406 - Abziehbare Vorsteuer 19 % - B,Add,Total,Abziehbare Vorsteuer 19 %,On Net Total,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B","5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
