ID,Account Currency (From),Account Currency (To),Account Paid From,Account Paid To,Company,Paid Amount,Paid Amount (Company Currency),Payment Type,Posting Date,Received Amount,Received Amount (Company Currency),Series,Source Exchange Rate,Target Exchange Rate,ID (Payment References),Type (Payment References),Name (Payment References),ID (Advance Taxes and Charges),Account Head (Advance Taxes and Charges),Add Or Deduct (Advance Taxes and Charges),Description (Advance Taxes and Charges),Party Type,Party,Cheque/Reference Date,Cheque/Reference No,Type (Advance Taxes and Charges)
ACC-PAY-2023-01033,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2023-12-03,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-71037,Purchase Invoice,ACC-PINV-2023-79674,ADTAX-2023-56925,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5367,2023-12-03,996,Actual
ACC-PAY-2024-29510,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"90000,00","90000,00",Pay,2024-02-27,"90000,00","90000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-90142,Purchase Invoice,ACC-PINV-2024-50089,ADTAX-2024-46612,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9071,2024-02-27,60,Actual
ACC-PAY-2022-88054,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"75000,00","75000,00",Pay,2022-11-20,"75000,00","75000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-46370,Purchase Invoice,ACC-PINV-2022-41815,ADTAX-2022-49198,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-6897,2022-11-20,825,Actual
ACC-PAY-2023-33211,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2023-12-30,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-16712,Purchase Invoice,ACC-PINV-2023-38528,ADTAX-2023-31154,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4365,2023-12-30,239,Actual
ACC-PAY-2022-18672,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"15000,00","15000,00",Pay,2022-04-27,"15000,00","15000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-77156,Purchase Invoice,ACC-PINV-2022-05380,ADTAX-2022-43592,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4770,2022-04-27,194,Actual
ACC-PAY-2023-41731,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"100000,00","100000,00",Pay,2023-11-09,"100000,00","100000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-50878,Purchase Invoice,ACC-PINV-2023-89156,ADTAX-2023-36379,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9123,2023-11-09,826,Actual
ACC-PAY-2020-07369,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"75000,00","75000,00",Pay,2020-07-14,"75000,00","75000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-38955,Purchase Invoice,ACC-PINV-2020-13073,ADTAX-2020-67422,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-6897,2020-07-14,621,Actual
ACC-PAY-2023-32535,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"75000,00","75000,00",Pay,2023-11-10,"75000,00","75000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-02434,Purchase Invoice,ACC-PINV-2023-25919,ADTAX-2023-24117,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7042,2023-11-10,975,Actual
ACC-PAY-2022-34705,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2022-06-27,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-17073,Purchase Invoice,ACC-PINV-2022-05590,ADTAX-2022-80191,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7885,2022-06-27,820,Actual
ACC-PAY-2020-21784,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2020-08-19,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-83322,Purchase Invoice,ACC-PINV-2020-75907,ADTAX-2020-16373,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7885,2020-08-19,554,Actual
ACC-PAY-2022-08127,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"2500,00","2500,00",Pay,2022-06-05,"2500,00","2500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-08429,Purchase Invoice,ACC-PINV-2022-18847,ADTAX-2022-66038,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-3098,2022-06-05,738,Actual
ACC-PAY-2024-74998,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"12500,00","12500,00",Pay,2024-04-14,"12500,00","12500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-85652,Purchase Invoice,ACC-PINV-2024-23522,ADTAX-2024-30302,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7885,2024-04-14,393,Actual
ACC-PAY-2024-99603,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2024-03-15,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-79147,Purchase Invoice,ACC-PINV-2024-25979,ADTAX-2024-45839,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-3188,2024-03-15,826,Actual
ACC-PAY-2023-29661,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2023-07-19,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-33421,Purchase Invoice,ACC-PINV-2023-44219,ADTAX-2023-35383,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9071,2023-07-19,910,Actual
ACC-PAY-2020-74861,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2020-11-01,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-65577,Purchase Invoice,ACC-PINV-2020-01074,ADTAX-2020-61069,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4312,2020-11-01,752,Actual
ACC-PAY-2024-06637,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"10000,00","10000,00",Pay,2024-09-03,"10000,00","10000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-94711,Purchase Invoice,ACC-PINV-2024-07078,ADTAX-2024-55727,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7885,2024-09-03,855,Actual
ACC-PAY-2020-91581,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"90000,00","90000,00",Pay,2020-02-01,"90000,00","90000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-17732,Purchase Invoice,ACC-PINV-2020-89609,ADTAX-2020-95936,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9071,2020-02-01,169,Actual
ACC-PAY-2019-37089,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2019-11-28,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2019-15669,Purchase Invoice,ACC-PINV-2019-97120,ADTAX-2019-99970,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4312,2019-11-28,96,Actual
ACC-PAY-2022-44406,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"75000,00","75000,00",Pay,2022-03-12,"75000,00","75000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-87334,Purchase Invoice,ACC-PINV-2022-17280,ADTAX-2022-26004,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-1347,2022-03-12,479,Actual
ACC-PAY-2024-81320,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2024-09-11,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-03208,Purchase Invoice,ACC-PINV-2024-28609,ADTAX-2024-81005,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4312,2024-09-11,100,Actual
ACC-PAY-2021-57983,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2021-04-14,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-49559,Purchase Invoice,ACC-PINV-2021-64968,ADTAX-2021-56678,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4312,2021-04-14,453,Actual
ACC-PAY-2023-16717,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"90000,00","90000,00",Pay,2023-10-22,"90000,00","90000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-20558,Purchase Invoice,ACC-PINV-2023-98871,ADTAX-2023-81846,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9071,2023-10-22,277,Actual
ACC-PAY-2023-99278,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"40000,00","40000,00",Pay,2023-08-13,"40000,00","40000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-15083,Purchase Invoice,ACC-PINV-2023-70763,ADTAX-2023-89079,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-5367,2023-08-13,393,Actual
ACC-PAY-2023-03908,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"17500,00","17500,00",Pay,2023-01-18,"17500,00","17500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-87879,Purchase Invoice,ACC-PINV-2023-15106,ADTAX-2023-73232,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9131,2023-01-18,605,Actual
ACC-PAY-2020-43713,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"200000,00","200000,00",Pay,2020-10-18,"200000,00","200000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2020-82971,Purchase Invoice,ACC-PINV-2020-42627,ADTAX-2020-93374,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-1942,2020-10-18,832,Actual
ACC-PAY-2021-20187,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2021-03-09,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-29439,Purchase Invoice,ACC-PINV-2021-26614,ADTAX-2021-74429,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7331,2021-03-09,253,Actual
ACC-PAY-2022-17033,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"75000,00","75000,00",Pay,2022-08-11,"75000,00","75000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2022-14816,Purchase Invoice,ACC-PINV-2022-77571,ADTAX-2022-97753,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7042,2022-08-11,448,Actual
ACC-PAY-2021-62642,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"2500,00","2500,00",Pay,2021-04-16,"2500,00","2500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2021-09608,Purchase Invoice,ACC-PINV-2021-10288,ADTAX-2021-90919,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-1115,2021-04-16,153,Actual
ACC-PAY-2023-06685,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"20000,00","20000,00",Pay,2023-01-14,"20000,00","20000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-72171,Purchase Invoice,ACC-PINV-2023-38693,ADTAX-2023-66235,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-9946,2023-01-14,874,Actual
ACC-PAY-2024-19568,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"7500,00","7500,00",Pay,2024-06-21,"7500,00","7500,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2024-27466,Purchase Invoice,ACC-PINV-2024-98310,ADTAX-2024-83116,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-4312,2024-06-21,471,Actual
ACC-PAY-2023-62980,EUR,EUR,1800 - Bank - B,3500 - Sonstige Verb. - B,Velo GmbH,"10000,00","10000,00",Pay,2023-07-16,"10000,00","10000,00",ACC-PAY-.YYYY.-,"1,00","1,00",PAYREF-2023-89541,Purchase Invoice,ACC-PINV-2023-68478,ADTAX-2023-39462,1406 - Abziehbare Vorsteuer 19 % - B,Add,Abziehbare Vorsteuer 19 %,Supplier,SUP-7127,2023-07-16,294,Actual
