Sr;Label;Type;Name;Mandatory;Options;Default;Fetch From;Display Depends On (JS);;;;;;;;;;;;;;;;;;;
103;Terms;Tab Break;terms_tab;;;;;;;;;;;;;;;;;;;;;;;;
104;Terms;Link;tc_name;;Terms and Conditions;;;;;;;;;;;;;;;;;;;;;;
105;Terms and Conditions Details;Text Editor;terms;;;;;;;;;;;;;;;;;;;;;;;;
106;More Info;Tab Break;more_info_tab;;;;;;;;;;;;;;;;;;;;;;;;
107;Status;Section Break;section_break_83;;;;;;;;;;;;;;;;;;;;;;;;
108;% Amount Billed;Percent;per_billed;;;;;;;;;;;;;;;;;;;;;;;;
109;Status;Select;status;x;Draft;Draft;;;;;;;;;;;;;;;;;;;;;
110;;Column Break;column_break_112;;;;;;;;;;;;;;;;;;;;;;;;
111;% Installed;Percent;per_installed;;;;;eval:!doc.__islocal;;;;;;;;;;;;;;;;;;;
112;Installation Status;Select;installation_status;;;;;;;;;;;;;;;;;;;;;;;;
113;;Column Break;column_break_89;;;;;;;;;;;;;;;;;;;;;;;;
114;% Returned;Percent;per_returned;;;;;eval:!doc.__islocal;;;;;;;;;;;;;;;;;;;
115;Transporter Info;Section Break;transporter_info;;fa fa-truck;;;;;;;;;;;;;;;;;;;;;;
116;Transporter;Link;transporter;;Supplier;;;;;;;;;;;;;;;;;;;;;;
117;Transport Receipt No;Data;lr_no;;;;;;;;;;;;;;;;;;;;;;;;
118;Delivery Trip;Link;delivery_trip;;Delivery Trip;;;;;;;;;;;;;;;;;;;;;;
119;Driver;Link;driver;;Driver;;;;;;;;;;;;;;;;;;;;;;
120;;Column Break;col_break34;;;;;;;;;;;;;;;;;;;;;;;;
121;Transporter Name;Data;transporter_name;;;;transporter.supplier_name;;;;;;;;;;;;;;;;;;;;
122;Transport Receipt Date;Date;lr_date;;;Today;;;;;;;;;;;;;;;;;;;;;
123;Vehicle No;Data;vehicle_no;;;;;;;;;;;;;;;;;;;;;;;;
124;Driver Name;Data;driver_name;;;;driver.full_name;;;;;;;;;;;;;;;;;;;;
125;Customer PO Details;Section Break;customer_po_details;;;;;;;;;;;;;;;;;;;;;;;;
126;Customer's Purchase Order No;Small Text;po_no;;;;;;;;;;;;;;;;;;;;;;;;
127;;Column Break;column_break_17;;;;;;;;;;;;;;;;;;;;;;;;
128;Customer's Purchase Order Date;Date;po_date;;;;;;;;;;;;;;;;;;;;;;;;
129;Commission;Section Break;sales_team_section_break;;fa fa-group;;;;;;;;;;;;;;;;;;;;;;
130;Sales Partner;Link;sales_partner;;Sales Partner;;;;;;;;;;;;;;;;;;;;;;
131;Amount Eligible for Commission;Currency;amount_eligible_for_commission;;;;;;;;;;;;;;;;;;;;;;;;
132;;Column Break;column_break7;;;;;;;;;;;;;;;;;;;;;;;;
133;Commission Rate (%);Float;commission_rate;;;;sales_partner.commission_rate;;;;;;;;;;;;;;;;;;;;
134;Total Commission;Currency;total_commission;;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;;
135;Sales Team;Section Break;section_break1;;;;;;;;;;;;;;;;;;;;;;;;
136;Sales Team;Table;sales_team;;Sales Team;;;;;;;;;;;;;;;;;;;;;;
137;Subscription Section;Section Break;subscription_section;;;;;;;;;;;;;;;;;;;;;;;;
138;Auto Repeat;Link;auto_repeat;;Auto Repeat;;;;;;;;;;;;;;;;;;;;;;
139;Print Settings;Section Break;printing_details;;;;;;;;;;;;;;;;;;;;;;;;
140;Letter Head;Link;letter_head;;Letter Head;;;;;;;;;;;;;;;;;;;;;;
141;Print Without Amount;Check;print_without_amount;;;0;;;;;;;;;;;;;;;;;;;;;
142;Group same items;Check;group_same_items;;;0;;;;;;;;;;;;;;;;;;;;;
143;;Column Break;column_break_88;;;;;;;;;;;;;;;;;;;;;;;;
144;Print Heading;Link;select_print_heading;;Print Heading;;;;;;;;;;;;;;;;;;;;;;
145;Print Language;Data;language;;;;;;;;;;;;;;;;;;;;;;;;
146;Additional Info;Section Break;more_info;;fa fa-file-text;;;;;;;;;;;;;;;;;;;;;;
147;Is Internal Customer;Check;is_internal_customer;;;0;customer.is_internal_customer;;;;;;;;;;;;;;;;;;;;
148;Represents Company;Link;represents_company;;Company;;customer.represents_company;;;;;;;;;;;;;;;;;;;;
149;Inter Company Reference;Link;inter_company_reference;;Purchase Receipt;;;;;;;;;;;;;;;;;;;;;;
150;Customer Group;Link;customer_group;;Customer Group;;;;;;;;;;;;;;;;;;;;;;
151;Territory;Link;territory;;Territory;;;;;;;;;;;;;;;;;;;;;;
152;Source;Link;source;;Lead Source;;;;;;;;;;;;;;;;;;;;;;
153;Campaign;Link;campaign;;Campaign;;;;;;;;;;;;;;;;;;;;;;
154;;Column Break;column_break5;;;;;;;;;;;;;;;;;;;;;;;;
155;Excise Page Number;Data;excise_page;;;;;;;;;;;;;;;;;;;;;;;;
156;Instructions;Text;instructions;;;;;;;;;;;;;;;;;;;;;;;;
157;Connections;Tab Break;connections_tab;;;;;;;;;;;;;;;;;;;;;;;;
