Sr;Label;Type;Name;Mandatory;Options;Default;Display Depends On (JS);;;;;;;;;;;;;;;;
44;Serial Nos and Batches;Section Break;serial_nos_and_batches;;;;eval:doc.is_stock_item;;;;;;;;;;;;;;;;
45;Has Batch No;Check;has_batch_no;;;0;eval:doc.is_stock_item;;;;;;;;;;;;;;;;
46;Automatically Create New Batch;Check;create_new_batch;;;0;has_batch_no;;;;;;;;;;;;;;;;
47;Batch Number Series;Data;batch_number_series;;;;eval:doc.has_batch_no==1 && doc.create_new_batch==1;;;;;;;;;;;;;;;;
48;Has Expiry Date;Check;has_expiry_date;;;0;has_batch_no;;;;;;;;;;;;;;;;
49;Retain Sample;Check;retain_sample;;;0;has_batch_no;;;;;;;;;;;;;;;;
50;Max Sample Quantity;Int;sample_quantity;;;;eval: (doc.retain_sample && doc.has_batch_no);;;;;;;;;;;;;;;;
51;;Column Break;column_break_37;;;;;;;;;;;;;;;;;;;;
52;Has Serial No;Check;has_serial_no;;;0;eval:doc.is_stock_item;;;;;;;;;;;;;;;;
53;Serial Number Series;Data;serial_no_series;;;;has_serial_no;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
54;Variants;Tab Break;variants_section;;;;eval:!doc.is_fixed_asset;;;;;;;;;;;;;;;;
55;Variant Of;Link;variant_of;;Item;;variant_of;;;;;;;;;;;;;;;;
56;Variant Based On;Select;variant_based_on;;Item Attribute;Item Attribute;has_variants;;;;;;;;;;;;;;;;
;;;;;Manufacturer;;;;;;;;;;;;;;;;;;
57;Variant Attributes;Table;attributes;;Item Variant Attribute;;eval:(doc.has_variants || doc.variant_of) && doc.variant_based_on==='Item Attribute';;;;;;;;;;;;;;;;
58;Accounting;Tab Break;accounting;;;;eval:!doc.is_fixed_asset;;;;;;;;;;;;;;;;
59;Deferred Accounting;Section Break;deferred_accounting_section;;;;;;;;;;;;;;;;;;;;
60;Enable Deferred Expense;Check;enable_deferred_expense;;;0;;;;;;;;;;;;;;;;;
61;No of Months (Expense);Int;no_of_months_exp;;;;enable_deferred_expense;;;;;;;;;;;;;;;;
62;;Column Break;column_break_9s9o;;;;;;;;;;;;;;;;;;;;
63;Enable Deferred Revenue;Check;enable_deferred_revenue;;;0;;;;;;;;;;;;;;;;;
64;No of Months (Revenue);Int;no_of_months;;;;enable_deferred_revenue;;;;;;;;;;;;;;;;
65;;Section Break;section_break_avcp;;;;;;;;;;;;;;;;;;;;
66;Item Defaults;Table;item_defaults;;Item Default;;;;;;;;;;;;;;;;;;
67;Purchasing;Tab Break;purchasing_tab;;;;;;;;;;;;;;;;;;;;
68;Default Purchase Unit of Measure;Link;purchase_uom;;UOM;;;;;;;;;;;;;;;;;;
69;Minimum Order Qty;Float;min_order_qty;;;0.00;is_stock_item;;;;;;;;;;;;;;;;
70;Safety Stock;Float;safety_stock;;;;;;;;;;;;;;;;;;;;
71;Allow Purchase;Check;is_purchase_item;;;1;;;;;;;;;;;;;;;;;
72;;Column Break;purchase_details_cb;;;;;;;;;;;;;;;;;;;;
73;Lead Time in days;Int;lead_time_days;;;;;;;;;;;;;;;;;;;;
74;Last Purchase Rate;Float;last_purchase_rate;;;;;;;;;;;;;;;;;;;;
75;Is Customer Provided Item;Check;is_customer_provided_item;;;0;;;;;;;;;;;;;;;;;
76;Customer;Link;customer;;Customer;;eval:doc.is_customer_provided_item==1;;;;;;;;;;;;;;;;
77;Supplier Details;Section Break;supplier_details;;;;eval:!doc.is_fixed_asset;;;;;;;;;;;;;;;;
78;Delivered by Supplier (Drop Ship);Check;delivered_by_supplier;;;0;;;;;;;;;;;;;;;;;
79;;Column Break;column_break2;;;;;;;;;;;;;;;;;;;;
80;Supplier Items;Table;supplier_items;;Item Supplier;;;;;;;;;;;;;;;;;;
81;Foreign Trade Details;Section Break;foreign_trade_details;;;;;;;;;;;;;;;;;;;;
82;Country of Origin;Link;country_of_origin;;Country;;;;;;;;;;;;;;;;;;
83;;Column Break;column_break_59;;;;;;;;;;;;;;;;;;;;
84;Customs Tariff Number;Link;customs_tariff_number;;Customs Tariff Number;;;;;;;;;;;;;;;;;;
85;Sales;Tab Break;sales_details;;fa fa-tag;;;;;;;;;;;;;;;;;;
86;Default Sales Unit of Measure;Link;sales_uom;;UOM;;;;;;;;;;;;;;;;;;
87;Grant Commission;Check;grant_commission;;;1;;;;;;;;;;;;;;;;;
88;Allow Sales;Check;is_sales_item;;;1;;;;;;;;;;;;;;;;;
89;;Column Break;column_break3;;;;;;;;;;;;;;;;;;;;
90;Max Discount (%);Float;max_discount;;;;;;;;;;;;;;;;;;;;
91;Customer Details;Section Break;customer_details;;;;eval:!doc.is_fixed_asset;;;;;;;;;;;;;;;;
92;Customer Items;Table;customer_items;;Item Customer Detail;;;;;;;;;;;;;;;;;;
93;Tax;Tab Break;item_tax_section_break;;fa fa-money;;;;;;;;;;;;;;;;;;
94;Taxes;Table;taxes;;Item Tax;;;;;;;;;;;;;;;;;;
95;Quality;Tab Break;quality_tab;;;;;;;;;;;;;;;;;;;;
96;Inspection Required before Purchase;Check;inspection_required_before_purchase;;;0;;;;;;;;;;;;;;;;;
97;Quality Inspection Template;Link;quality_inspection_template;;Quality Inspection Template;;;;;;;;;;;;;;;;;;
98;Inspection Required before Delivery;Check;inspection_required_before_delivery;;;0;;;;;;;;;;;;;;;;;
99;Manufacturing;Tab Break;manufacturing;;fa fa-cogs;;is_stock_item;;;;;;;;;;;;;;;;
100;Include Item In Manufacturing;Check;include_item_in_manufacturing;;;1;eval:!doc.is_fixed_asset;;;;;;;;;;;;;;;;
101;Supply Raw Materials for Purchase;Check;is_sub_contracted_item;;;0;;;;;;;;;;;;;;;;;
102;Default BOM;Link;default_bom;;BOM;;;;;;;;;;;;;;;;;;
103;;Column Break;column_break_74;;;;;;;;;;;;;;;;;;;;
104;Customer Code;Small Text;customer_code;;;;;;;;;;;;;;;;;;;;
105;Default Item Manufacturer;Link;default_item_manufacturer;;Manufacturer;;;;;;;;;;;;;;;;;;
106;Default Manufacturer Part No;Data;default_manufacturer_part_no;;;;;;;;;;;;;;;;;;;;
107;Total Projected Qty;Float;total_projected_qty;;;;;;;;;;;;;;;;;;;;
