Sr;Label;Type;Name;Mandatory;Options;Default;Fetch From;Display Depends On (JS)
113;Customer Contact;Link;customer_contact_person;;Contact;;;
114;Customer Contact;Small Text;customer_contact_display;;;;;
115;Customer Mobile No;Small Text;customer_contact_mobile;;Phone;;;
116;Customer Contact Email;Code;customer_contact_email;;Email;;;
117;Terms;Tab Break;terms_tab;;;;;
118;Payment Terms;Section Break;payment_schedule_section;;;;;
119;Payment Terms Template;Link;payment_terms_template;;Payment Terms Template;;;
120;Payment Schedule;Table;payment_schedule;;Payment Schedule;;;
121;Terms & Conditions;Section Break;terms_section_break;;fa fa-legal;;;
122;Terms;Link;tc_name;;Terms and Conditions;;;
123;Terms and Conditions;Text Editor;terms;;;;;
124;More Info;Tab Break;more_info_tab;;;;;
125;Order Status;Section Break;tracking_section;;;;;
126;Status;Select;status;x;Draft;Draft;;
127;Advance Payment Status;Select;advance_payment_status;;Not Initiated;;;
128;;Column Break;column_break_75;;;;;
129;% Billed;Percent;per_billed;;;;;eval:!doc.__islocal
130;% Received;Percent;per_received;;;;;eval:!doc.__islocal
131;Printing Settings;Section Break;column_break5;;;;;
132;Letter Head;Link;letter_head;;Letter Head;;;
133;Group same items;Check;group_same_items;;;0;;
134;;Column Break;column_break_86;;;;;
135;Print Heading;Link;select_print_heading;;Print Heading;;;
136;Print Language;Data;language;;;;;
137;Auto Repeat;Section Break;subscription_section;;;;;
138;From Date;Date;from_date;;;;;
139;To Date;Date;to_date;;;;;
140;;Column Break;column_break_97;;;;;
141;Auto Repeat;Link;auto_repeat;;Auto Repeat;;;
142;Update Auto Repeat Reference;Button;update_auto_repeat_reference;;;;;eval: doc.auto_repeat
143;Additional Info;Section Break;additional_info_section;;;;;
144;Is Internal Supplier;Check;is_internal_supplier;;;0;supplier.is_internal_supplier;
145;Represents Company;Link;represents_company;;Company;;supplier.represents_company;
146;Supplier Quotation;Link;ref_sq;;Supplier Quotation;;;
147;;Column Break;column_break_74;;;;;
148;Party Account Currency;Link;party_account_currency;;Currency;;;
149;Inter Company Order Reference;Link;inter_company_order_reference;;Sales Order;;;
150;Is Old Subcontracting Flow;Check;is_old_subcontracting_flow;;;0;;
151;Connections;Tab Break;connections_tab;;;;;
