ID,Company,Currency,Date,Exchange Rate,Series,Status,Supplier,Title,ID (Items),Amount (Items),Item Code (Items),Item Name (Items),Quantity (Items),Rate (Items),Required By (Items),Stock UOM (Items),UOM (Items),UOM Conversion Factor (Items),Set Target Warehouse
PUR-ORD-2023-56165,Velo GmbH,EUR,2023-04-08,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3188,Purchase Order for SUP-3188,POITEM-2023-83054,4160.24,COMP-0039,Kurbel 3-fach,76,54.74,2023-04-15,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-91821,Velo GmbH,EUR,2023-03-30,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-9527,Purchase Order for SUP-9527,POITEM-2023-79514,1830.36,COMP-0038,Lenker Riserbar,21,87.16,2023-04-06,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-78235,Velo GmbH,EUR,2023-05-01,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8134,Purchase Order for SUP-8134,POITEM-2023-47543,2824.85,COMP-0030,Vorbau Standardvorbau,49,57.65,2023-05-08,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-81394,Velo GmbH,EUR,2023-05-27,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-2661,Purchase Order for SUP-2661,POITEM-2023-04869,7870.72,COMP-0036,Kurbel 3-fach,64,122.98,2023-06-03,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-44665,Velo GmbH,EUR,2023-11-07,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1798,Purchase Order for SUP-1798,POITEM-2023-92468,1459.68,COMP-0010,Sattelstütze Starr,8,182.46,2023-11-14,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-76445,Velo GmbH,EUR,2023-10-08,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8452,Purchase Order for SUP-8452,POITEM-2023-01370,7741.8,COMP-0034,Griffe Standard,90,86.02,2023-10-15,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-54278,Velo GmbH,EUR,2023-02-08,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-5728,Purchase Order for SUP-5728,POITEM-2023-13446,5137.92,COMP-0009,Griffe Standard,36,142.72,2023-02-15,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-56907,Velo GmbH,EUR,2023-10-30,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-5728,Purchase Order for SUP-5728,POITEM-2023-86398,8848.64,COMP-0009,Griffe Standard,62,142.72,2023-11-06,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-09649,Velo GmbH,EUR,2023-12-21,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-4108,Purchase Order for SUP-4108,POITEM-2023-39990,8088.85,COMP-0045,Griffe Standard,55,147.07,2023-12-28,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-90471,Velo GmbH,EUR,2023-06-29,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7171,Purchase Order for SUP-7171,POITEM-2023-66647,5292.08,COMP-0043,Kurbel 2-fach,83,63.76,2023-07-06,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-85566,Velo GmbH,EUR,2023-10-27,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-9123,Purchase Order for SUP-9123,POITEM-2023-50748,4247.6,COMP-0004,Laufräder 28 Zoll,56,75.85,2023-11-03,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-42273,Velo GmbH,EUR,2023-02-06,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3188,Purchase Order for SUP-3188,POITEM-2023-34703,11678.4,COMP-0005,Schaltung 1x12 MTB,72,162.2,2023-02-13,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-67390,Velo GmbH,EUR,2023-12-22,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8134,Purchase Order for SUP-8134,POITEM-2023-55320,5254.12,COMP-0028,Motor Mittelmotor 500W,92,57.11,2023-12-29,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-59627,Velo GmbH,EUR,2023-01-11,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3188,Purchase Order for SUP-3188,POITEM-2023-95998,6793.38,COMP-0050,Controller Standard,99,68.62,2023-01-18,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-91857,Velo GmbH,EUR,2023-04-03,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3098,Purchase Order for SUP-3098,POITEM-2023-15159,1881.0,COMP-0029,Lenker Flatbar,19,99.0,2023-04-10,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-13713,Velo GmbH,EUR,2023-01-15,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7185,Purchase Order for SUP-7185,POITEM-2023-78871,7827.12,COMP-0044,Schaltung 7-Gang,84,93.18,2023-01-22,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-82063,Velo GmbH,EUR,2023-01-15,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8452,Purchase Order for SUP-8452,POITEM-2023-32838,4731.1,COMP-0034,Griffe Standard,55,86.02,2023-01-22,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-84476,Velo GmbH,EUR,2023-07-13,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3249,Purchase Order for SUP-3249,POITEM-2023-51791,346.12,COMP-0012,Steuersatz Integriert,2,173.06,2023-07-20,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-74872,Velo GmbH,EUR,2023-03-19,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1115,Purchase Order for SUP-1115,POITEM-2023-40755,3546.66,COMP-0003,Controller Leistungsstark,78,45.47,2023-03-26,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-52734,Velo GmbH,EUR,2023-04-30,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1115,Purchase Order for SUP-1115,POITEM-2023-36787,3319.31,COMP-0003,Controller Leistungsstark,73,45.47,2023-05-07,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-77769,Velo GmbH,EUR,2023-01-26,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1115,Purchase Order for SUP-1115,POITEM-2023-85008,1982.76,COMP-0048,Steuersatz Semi-integriert,82,24.18,2023-02-02,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-56849,Velo GmbH,EUR,2023-12-24,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1942,Purchase Order for SUP-1942,POITEM-2023-48777,2296.61,COMP-0026,Schaltung 7-Gang,83,27.67,2023-12-31,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-35937,Velo GmbH,EUR,2023-09-20,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1115,Purchase Order for SUP-1115,POITEM-2023-48459,2000.68,COMP-0003,Controller Leistungsstark,44,45.47,2023-09-27,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-98285,Velo GmbH,EUR,2023-08-06,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-9946,Purchase Order for SUP-9946,POITEM-2023-44370,16485.75,COMP-0027,Vorbau Standardvorbau,85,193.95,2023-08-13,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-17351,Velo GmbH,EUR,2023-08-02,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3599,Purchase Order for SUP-3599,POITEM-2023-53396,4711.32,COMP-0018,Vorbau Standardvorbau,69,68.28,2023-08-09,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-24850,Velo GmbH,EUR,2023-09-01,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8754,Purchase Order for SUP-8754,POITEM-2023-59761,2699.4,COMP-0042,Controller Tuning-Kit,30,89.98,2023-09-08,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-90529,Velo GmbH,EUR,2023-07-17,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8134,Purchase Order for SUP-8134,POITEM-2023-85228,4833.68,COMP-0007,Motor Mittelmotor 500W,71,68.08,2023-07-24,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-13810,Velo GmbH,EUR,2023-10-05,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7885,Purchase Order for SUP-7885,POITEM-2023-47417,2800.8,COMP-0046,Kurbel 2-fach,45,62.24,2023-10-12,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-52982,Velo GmbH,EUR,2023-08-13,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1186,Purchase Order for SUP-1186,POITEM-2023-60125,5422.08,COMP-0020,Sattel Gel,64,84.72,2023-08-20,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-75497,Velo GmbH,EUR,2023-12-28,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-5273,Purchase Order for SUP-5273,POITEM-2023-48079,1308.3,COMP-0008,Motor Nabenmotor Vorderrad,7,186.9,2024-01-04,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-58810,Velo GmbH,EUR,2023-03-01,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3829,Purchase Order for SUP-3829,POITEM-2023-96949,1313.73,COMP-0024,"Reifen Straße 28""",9,145.97,2023-03-08,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-64949,Velo GmbH,EUR,2023-05-09,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8134,Purchase Order for SUP-8134,POITEM-2023-60138,5582.56,COMP-0007,Motor Mittelmotor 500W,82,68.08,2023-05-16,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-77600,Velo GmbH,EUR,2023-08-13,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8134,Purchase Order for SUP-8134,POITEM-2023-06803,4454.58,COMP-0028,Motor Mittelmotor 500W,78,57.11,2023-08-20,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-13502,Velo GmbH,EUR,2023-07-09,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7885,Purchase Order for SUP-7885,POITEM-2023-93388,5788.32,COMP-0046,Kurbel 2-fach,93,62.24,2023-07-16,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-49852,Velo GmbH,EUR,2023-02-11,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-2583,Purchase Order for SUP-2583,POITEM-2023-65539,12138.21,COMP-0014,Bremsen Scheibenbremsen mechanisch,63,192.67,2023-02-18,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-13081,Velo GmbH,EUR,2023-08-28,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-4312,Purchase Order for SUP-4312,POITEM-2023-89904,11931.6,COMP-0041,Controller Standard,60,198.86,2023-09-04,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-10043,Velo GmbH,EUR,2023-04-26,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3098,Purchase Order for SUP-3098,POITEM-2023-67840,1464.12,COMP-0033,Controller Leistungsstark,42,34.86,2023-05-03,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-55348,Velo GmbH,EUR,2023-03-08,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8781,Purchase Order for SUP-8781,POITEM-2023-38668,13484.24,COMP-0047,Lenker Riserbar,88,153.23,2023-03-15,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-76596,Velo GmbH,EUR,2023-06-13,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-4108,Purchase Order for SUP-4108,POITEM-2023-01769,3676.75,COMP-0045,Griffe Standard,25,147.07,2023-06-20,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-66375,Velo GmbH,EUR,2023-03-23,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3098,Purchase Order for SUP-3098,POITEM-2023-93920,2928.24,COMP-0033,Controller Leistungsstark,84,34.86,2023-03-30,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-28575,Velo GmbH,EUR,2023-04-01,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3188,Purchase Order for SUP-3188,POITEM-2023-00230,2270.8,COMP-0005,Schaltung 1x12 MTB,14,162.2,2023-04-08,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-46566,Velo GmbH,EUR,2023-10-23,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-4365,Purchase Order for SUP-4365,POITEM-2023-84799,10988.46,COMP-0002,"Reifen Straße 28""",63,174.42,2023-10-30,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-79017,Velo GmbH,EUR,2023-11-08,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-9123,Purchase Order for SUP-9123,POITEM-2023-59202,9646.63,COMP-0019,Display Smartphone-Integration,49,196.87,2023-11-15,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-49968,Velo GmbH,EUR,2023-09-27,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3188,Purchase Order for SUP-3188,POITEM-2023-89640,4117.2,COMP-0050,Controller Standard,60,68.62,2023-10-04,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-58778,Velo GmbH,EUR,2023-10-26,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7042,Purchase Order for SUP-7042,POITEM-2023-74120,3927.84,COMP-0022,Sattelstütze Teleskop,42,93.52,2023-11-02,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-03206,Velo GmbH,EUR,2023-06-13,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-2583,Purchase Order for SUP-2583,POITEM-2023-89471,16762.29,COMP-0014,Bremsen Scheibenbremsen mechanisch,87,192.67,2023-06-20,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-03090,Velo GmbH,EUR,2023-03-18,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-9527,Purchase Order for SUP-9527,POITEM-2023-50103,6449.84,COMP-0038,Lenker Riserbar,74,87.16,2023-03-25,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-07068,Velo GmbH,EUR,2023-02-01,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1186,Purchase Order for SUP-1186,POITEM-2023-63194,2987.6,COMP-0025,Sattel Komfort,20,149.38,2023-02-08,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-44163,Velo GmbH,EUR,2023-12-09,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-4365,Purchase Order for SUP-4365,POITEM-2023-80919,6279.12,COMP-0002,"Reifen Straße 28""",36,174.42,2023-12-16,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-77478,Velo GmbH,EUR,2023-10-22,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-9123,Purchase Order for SUP-9123,POITEM-2023-07862,13780.9,COMP-0019,Display Smartphone-Integration,70,196.87,2023-10-29,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-29064,Velo GmbH,EUR,2023-10-08,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8754,Purchase Order for SUP-8754,POITEM-2023-24934,2339.48,COMP-0042,Controller Tuning-Kit,26,89.98,2023-10-15,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-97815,Velo GmbH,EUR,2023-12-07,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-9123,Purchase Order for SUP-9123,POITEM-2023-07403,1972.1,COMP-0004,Laufräder 28 Zoll,26,75.85,2023-12-14,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-99736,Velo GmbH,EUR,2023-08-02,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-5367,Purchase Order for SUP-5367,POITEM-2023-15716,3405.49,COMP-0031,Vorbau Standardvorbau,83,41.03,2023-08-09,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-39628,Velo GmbH,EUR,2023-01-13,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7185,Purchase Order for SUP-7185,POITEM-2023-83938,2329.5,COMP-0044,Schaltung 7-Gang,25,93.18,2023-01-20,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-74734,Velo GmbH,EUR,2023-02-02,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-4365,Purchase Order for SUP-4365,POITEM-2023-14608,16569.9,COMP-0002,"Reifen Straße 28""",95,174.42,2023-02-09,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-01654,Velo GmbH,EUR,2023-01-10,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7171,Purchase Order for SUP-7171,POITEM-2023-03009,510.08,COMP-0043,Kurbel 2-fach,8,63.76,2023-01-17,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-89258,Velo GmbH,EUR,2023-02-06,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3098,Purchase Order for SUP-3098,POITEM-2023-49402,2809.8,COMP-0035,"Reifen Gravel 29""",20,140.49,2023-02-13,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-94169,Velo GmbH,EUR,2023-01-14,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1942,Purchase Order for SUP-1942,POITEM-2023-01912,2379.62,COMP-0026,Schaltung 7-Gang,86,27.67,2023-01-21,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-86381,Velo GmbH,EUR,2023-09-01,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3249,Purchase Order for SUP-3249,POITEM-2023-47260,14017.86,COMP-0012,Steuersatz Integriert,81,173.06,2023-09-08,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-61396,Velo GmbH,EUR,2023-08-02,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3098,Purchase Order for SUP-3098,POITEM-2023-52837,2265.9,COMP-0033,Controller Leistungsstark,65,34.86,2023-08-09,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-98194,Velo GmbH,EUR,2023-05-16,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-5273,Purchase Order for SUP-5273,POITEM-2023-95618,8410.5,COMP-0008,Motor Nabenmotor Vorderrad,45,186.9,2023-05-23,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-08903,Velo GmbH,EUR,2023-06-04,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3188,Purchase Order for SUP-3188,POITEM-2023-30365,10705.2,COMP-0005,Schaltung 1x12 MTB,66,162.2,2023-06-11,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-10562,Velo GmbH,EUR,2023-08-17,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-7171,Purchase Order for SUP-7171,POITEM-2023-89281,255.04,COMP-0043,Kurbel 2-fach,4,63.76,2023-08-24,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-19210,Velo GmbH,EUR,2023-01-06,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-9625,Purchase Order for SUP-9625,POITEM-2023-93489,2807.75,COMP-0023,Sattel Sport,25,112.31,2023-01-13,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-07061,Velo GmbH,EUR,2023-12-08,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8781,Purchase Order for SUP-8781,POITEM-2023-31730,7661.5,COMP-0047,Lenker Riserbar,50,153.23,2023-12-15,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-11785,Velo GmbH,EUR,2023-06-27,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-2661,Purchase Order for SUP-2661,POITEM-2023-10053,6763.9,COMP-0036,Kurbel 3-fach,55,122.98,2023-07-04,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-15194,Velo GmbH,EUR,2023-11-20,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8452,Purchase Order for SUP-8452,POITEM-2023-07390,5935.38,COMP-0034,Griffe Standard,69,86.02,2023-11-27,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-63453,Velo GmbH,EUR,2023-10-20,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1186,Purchase Order for SUP-1186,POITEM-2023-19215,4744.32,COMP-0020,Sattel Gel,56,84.72,2023-10-27,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-41559,Velo GmbH,EUR,2023-11-13,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3098,Purchase Order for SUP-3098,POITEM-2023-00572,7305.48,COMP-0035,"Reifen Gravel 29""",52,140.49,2023-11-20,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-94654,Velo GmbH,EUR,2023-06-24,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1942,Purchase Order for SUP-1942,POITEM-2023-31718,2628.65,COMP-0026,Schaltung 7-Gang,95,27.67,2023-07-01,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-23459,Velo GmbH,EUR,2023-01-06,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-1186,Purchase Order for SUP-1186,POITEM-2023-90304,11555.75,COMP-0006,Display LCD,85,135.95,2023-01-13,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-45589,Velo GmbH,EUR,2023-12-28,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-4108,Purchase Order for SUP-4108,POITEM-2023-66379,12500.95,COMP-0045,Griffe Standard,85,147.07,2024-01-04,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-58579,Velo GmbH,EUR,2023-03-29,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-8452,Purchase Order for SUP-8452,POITEM-2023-43501,1548.36,COMP-0034,Griffe Standard,18,86.02,2023-04-05,Nos,Nos,"1,00",Lager Stuttgart - B
PUR-ORD-2023-68741,Velo GmbH,EUR,2023-02-17,"1,00",PUR-ORD-.YYYY.-,To Receive and Bill,SUP-3188,Purchase Order for SUP-3188,POITEM-2023-25887,4214.98,COMP-0039,Kurbel 3-fach,77,54.74,2023-02-24,Nos,Nos,"1,00",Lager Stuttgart - B
