BOM No,Company,Item To Manufacture,Planned Start Date,Qty To Manufacture,Series,Status,Has Batch No,Has Serial No,Work-in-Progress Warehouse,Source Warehouse,Target Warehouse,docstatus,ID,Actual Qty
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-09-10 05:58:51,5,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00027,5.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-09-29 13:50:34,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00028,1.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-02-20 02:54:50,8,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00029,8.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-11-03 23:30:56,3,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00030,3.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-04-15 09:20:24,2,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00031,2.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-09-20 20:12:58,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00032,7.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-10-19 05:18:48,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00033,7.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-07-08 08:45:32,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00034,1.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-11-18 02:28:00,8,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00035,8.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-05-04 02:30:45,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00036,1.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-01-21 06:00:49,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00037,6.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-03-20 17:47:34,10,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00038,10.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-09-04 04:49:40,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00039,7.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-08-06 18:39:28,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00040,6.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-02-16 02:05:35,2,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00041,2.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-12-24 05:28:54,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00042,6.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-02-13 14:50:51,4,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00043,4.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-12-06 18:44:14,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00044,6.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-10-15 15:36:26,2,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00045,2.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-05-26 08:55:34,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00046,1.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-04-28 08:21:03,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00047,7.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-01-29 11:15:24,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00048,1.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-07-07 08:28:00,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00049,7.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-09-25 19:54:04,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00050,7.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-12-14 13:46:54,2,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00051,2.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-07-15 11:53:33,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00052,1.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-01-20 06:11:47,10,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00053,10.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-05-22 09:30:17,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00054,9.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-09-27 12:22:13,8,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00055,8.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-08-27 20:25:00,3,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00056,3.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-11-01 19:53:22,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00057,9.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-08-11 18:35:22,4,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00058,4.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-06-02 01:43:23,4,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00059,4.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-03-28 20:48:35,8,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00060,8.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-09-02 16:01:51,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00061,9.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-04-16 13:34:02,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00062,1.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-03-18 12:57:26,2,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00063,2.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-01-08 20:22:41,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00064,7.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-09-29 07:54:16,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00065,7.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-05-21 23:45:53,8,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00066,8.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-10-15 23:39:38,2,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00067,2.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-03-02 19:02:04,8,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00068,8.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-03-03 04:30:49,10,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00069,10.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-12-14 13:20:53,5,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00070,5.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-04-05 21:09:19,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00071,6.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-02-09 01:03:49,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00072,9.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-02-20 02:34:15,5,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00073,5.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-08-29 00:17:39,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00074,6.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-11-30 08:25:19,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00075,9.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-05-30 01:18:09,3,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00076,3.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-05-26 21:06:25,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00077,7.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-12-15 05:00:26,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00078,9.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-05-05 19:20:15,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00079,7.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-04-03 13:57:56,4,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00080,4.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-12-22 22:10:21,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00081,6.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-12-18 15:32:14,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00082,1.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-12-13 00:04:26,10,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00083,10.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-07-04 01:45:17,8,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00084,8.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-04-03 14:57:35,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00085,6.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-10-21 12:01:02,10,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00086,10.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-06-29 03:51:55,4,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00087,4.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-10-12 08:51:37,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00088,7.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-05-21 15:01:09,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00089,1.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-10-27 07:34:24,3,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00090,3.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-08-03 08:03:07,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00091,6.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-08-06 06:15:19,2,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00092,2.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-02-02 14:01:04,3,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00093,3.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-05-04 15:56:46,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00094,1.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-06-14 09:26:16,6,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00095,6.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-10-31 21:45:43,10,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00096,10.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-06-01 02:08:39,5,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00097,5.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-04-29 02:20:52,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00098,1.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-12-16 16:35:14,4,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00099,4.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-05-22 22:17:30,3,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00100,3.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-03-14 13:50:46,9,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00101,9.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-01-25 05:00:42,2,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00102,2.0
BOM-BIKE-0002-001,Velo GmbH,BIKE-0002,2023-05-11 21:03:32,1,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00103,1.0
BOM-EBIKE-0001-001,Velo GmbH,EBIKE-0001,2023-04-10 09:28:05,7,MFG-WO-.YYYY.-,Not Started,0,1,Lager Stuttgart - B,Lager Stuttgart - B,Lager Stuttgart - B,1,MFG-WO-2024-00104,7.0
